No,Branch_Code,Original_Name,Name,Name2,Generation,Type1,Type2,Ability1,Ability2,Ability_Hidden,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,image_url
14,14_0,Kakuna,Kakuna,,1,Bug,Poison,Shed Skin,,,Ordinary,,,45,25,50,25,25,35,205,https://img.pokemondb.net/artwork/large/kakuna.jpg
15,15_0,Beedrill,Beedrill,,1,Bug,Poison,Swarm,,Sniper,Ordinary,,,65,90,40,45,80,75,395,https://img.pokemondb.net/artwork/large/beedrill.jpg
15,15_1,Beedrill,Mega Beedrill,Beedrill-Mega,6,Bug,Poison,Adaptability,,,Ordinary,Mega,,65,150,40,15,80,145,495,https://img.pokemondb.net/artwork/large/mega-beedrill.jpg
16,16_0,Pidgey,Pidgey,,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Ordinary,,,40,45,40,35,35,56,251,https://img.pokemondb.net/artwork/large/pidgey.jpg
17,17_0,Pidgeotto,Pidgeotto,,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Ordinary,,,63,60,55,50,50,71,349,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
18,18_0,Pidgeot,Pidgeot,,1,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Ordinary,,,83,80,75,70,70,101,479,https://img.pokemondb.net/artwork/large/pidgeot.jpg
18,18_1,Pidgeot,Mega Pidgeot,Pidgeot-Mega,6,Normal,Flying,No Guard,,,Ordinary,Mega,,83,80,80,135,80,121,579,https://img.pokemondb.net/artwork/large/mega-pidgeot.jpg
19,19_0,Rattata,Rattata,,1,Normal,,Run Away,Guts,Hustle,Ordinary,,,30,56,35,25,35,72,253,https://img.pokemondb.net/artwork/large/rattata.jpg
19,19_1,Rattata,Alolan Rattata,,7,Dark,Normal,Gluttony,Hustle,Thick Fat,Ordinary,,Alolan,30,56,35,25,35,72,253,https://img.pokemondb.net/artwork/large/alolan-rattata.jpg
20,20_0,Raticate,Raticate,,1,Normal,,Run Away,Guts,Hustle,Ordinary,,,55,81,60,50,70,97,413,https://img.pokemondb.net/artwork/large/raticate.jpg
20,20_1,Raticate,Alolan Raticate,,7,Dark,Normal,Gluttony,Hustle,Thick Fat,Ordinary,,Alolan,75,71,70,40,80,77,413,https://img.pokemondb.net/artwork/large/alolan-raticate.jpg
21,21_0,Spearow,Spearow,,1,Normal,Flying,Keen Eye,,Sniper,Ordinary,,,40,60,30,31,31,70,262,https://img.pokemondb.net/artwork/large/spearow.jpg
22,22_0,Fearow,Fearow,,1,Normal,Flying,Keen Eye,,Sniper,Ordinary,,,65,90,65,61,61,100,442,https://img.pokemondb.net/artwork/large/fearow.jpg
23,23_0,Ekans,Ekans,,1,Poison,,Intimidate,Shed Skin,Unnerve,Ordinary,,,35,60,44,40,54,55,288,https://img.pokemondb.net/artwork/large/ekans.jpg
24,24_0,Arbok,Arbok,,1,Poison,,Intimidate,Shed Skin,Unnerve,Ordinary,,,60,95,69,65,79,80,448,https://img.pokemondb.net/artwork/large/arbok.jpg
25,25_0,Pikachu,Pikachu,,1,Electric,,Static,,Lightning Rod,Ordinary,,,35,55,40,50,50,90,320,https://img.pokemondb.net/artwork/large/pikachu.jpg
26,26_0,Raichu,Raichu,,1,Electric,,Static,,Lightning Rod,Ordinary,,,60,90,55,90,80,110,485,https://img.pokemondb.net/artwork/large/raichu.jpg
26,26_1,Raichu,Alolan Raichu,,7,Electric,Psychic,Surge Surfer,,,Ordinary,,Alolan,60,85,50,95,85,110,485,https://img.pokemondb.net/artwork/large/alolan-raichu.jpg
27,27_0,Sandshrew,Sandshrew,,1,Ground,,Sand Veil,,Sand Rush,Ordinary,,,50,75,85,20,30,40,300,https://img.pokemondb.net/artwork/large/sandshrew.jpg
27,27_1,Sandshrew,Alolan Sandshrew,,7,Ice,Steel,Snow Cloak,,Slush Rush,Ordinary,,Alolan,50,75,90,10,35,40,300,https://img.pokemondb.net/artwork/large/alolan-sandshrew.jpg
28,28_0,Sandslash,Sandslash,,1,Ground,,Sand Veil,,Sand Rush,Ordinary,,,75,100,110,45,55,65,450,https://img.pokemondb.net/artwork/large/sandslash.jpg
28,28_1,Sandslash,Alolan Sandslash,,7,Ice,Steel,Snow Cloak,,Slush Rush,Ordinary,,Alolan,75,100,120,25,65,65,450,https://img.pokemondb.net/artwork/large/alolan-sandslash.jpg
29,29_0,Nidoran F,Nidoran F,,1,Poison,,Poison Point,Rivalry,Hustle,Ordinary,,,55,47,52,40,40,41,275,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
30,30_0,Nidorina,Nidorina,,1,Poison,,Poison Point,Rivalry,Hustle,Ordinary,,,70,62,67,55,55,56,365,https://img.pokemondb.net/artwork/large/nidorina.jpg
31,31_0,Nidoqueen,Nidoqueen,,1,Poison,Ground,Poison Point,Rivalry,Sheer Force,Ordinary,,,90,92,87,75,85,76,505,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
32,32_0,Nidoran M,Nidoran M,,1,Poison,,Poison Point,Rivalry,Hustle,Ordinary,,,46,57,40,40,40,50,273,https://img.pokemondb.net/artwork/large/nidoran-m.jpg
33,33_0,Nidorino,Nidorino,,1,Poison,,Poison Point,Rivalry,Hustle,Ordinary,,,61,72,57,55,55,65,365,https://img.pokemondb.net/artwork/large/nidorino.jpg
34,34_0,Nidoking,Nidoking,,1,Poison,Ground,Poison Point,Rivalry,Sheer Force,Ordinary,,,81,102,77,85,75,85,505,https://img.pokemondb.net/artwork/large/nidoking.jpg
35,35_0,Clefairy,Clefairy,,1,Fairy,,Cute Charm,Magic Guard,Friend Guard,Ordinary,,,70,45,48,60,65,35,323,https://img.pokemondb.net/artwork/large/clefairy.jpg
36,36_0,Clefable,Clefable,,1,Fairy,,Cute Charm,Magic Guard,Unaware,Ordinary,,,95,70,73,95,90,60,483,https://img.pokemondb.net/artwork/large/clefable.jpg
37,37_0,Vulpix,Vulpix,,1,Fire,,Flash Fire,,Drought,Ordinary,,,38,41,40,50,65,65,299,https://img.pokemondb.net/artwork/large/vulpix.jpg
37,37_1,Vulpix,Alolan Vulpix,,7,Ice,,Snow Cloak,,Snow Warning,Ordinary,,Alolan,38,41,40,50,65,65,299,https://img.pokemondb.net/artwork/large/alolan-vulpix.jpg
38,38_0,Ninetales,Ninetales,,1,Fire,,Flash Fire,,Drought,Ordinary,,,73,76,75,81,100,100,505,https://img.pokemondb.net/artwork/large/ninetales.jpg
38,38_1,Ninetales,Alolan Ninetales,,7,Ice,Fairy,Snow Cloak,,Snow Warning,Ordinary,,Alolan,73,67,75,81,100,109,505,https://img.pokemondb.net/artwork/large/alolan-ninetales.jpg
39,39_0,Jigglypuff,Jigglypuff,,1,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Ordinary,,,115,45,20,45,25,20,270,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
40,40_0,Wigglytuff,Wigglytuff,,1,Normal,Fairy,Cute Charm,Competitive,Frisk,Ordinary,,,140,70,45,85,50,45,435,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
41,41_0,Zubat,Zubat,,1,Poison,Flying,Inner Focus,,Infiltrator,Ordinary,,,40,45,35,30,40,55,245,https://img.pokemondb.net/artwork/large/zubat.jpg
42,42_0,Golbat,Golbat,,1,Poison,Flying,Inner Focus,,Infiltrator,Ordinary,,,75,80,70,65,75,90,455,https://img.pokemondb.net/artwork/large/golbat.jpg
43,43_0,Oddish,Oddish,,1,Grass,Poison,Chlorophyll,,Run Away,Ordinary,,,45,50,55,75,65,30,320,https://img.pokemondb.net/artwork/large/oddish.jpg
44,44_0,Gloom,Gloom,,1,Grass,Poison,Chlorophyll,,Stench,Ordinary,,,60,65,70,85,75,40,395,https://img.pokemondb.net/artwork/large/gloom.jpg
45,45_0,Vileplume,Vileplume,,1,Grass,Poison,Chlorophyll,,Effect Spore,Ordinary,,,75,80,85,110,90,50,490,https://img.pokemondb.net/artwork/large/vileplume.jpg
46,46_0,Paras,Paras,,1,Bug,Grass,Effect Spore,Dry Skin,Damp,Ordinary,,,35,70,55,45,55,25,285,https://img.pokemondb.net/artwork/large/paras.jpg
47,47_0,Parasect,Parasect,,1,Bug,Grass,Effect Spore,Dry Skin,Damp,Ordinary,,,60,95,80,60,80,30,405,https://img.pokemondb.net/artwork/large/parasect.jpg
48,48_0,Venonat,Venonat,,1,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Ordinary,,,60,55,50,40,55,45,305,https://img.pokemondb.net/artwork/large/venonat.jpg
49,49_0,Venomoth,Venomoth,,1,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Ordinary,,,70,65,60,90,75,90,450,https://img.pokemondb.net/artwork/large/venomoth.jpg
50,50_0,Diglett,Diglett,,1,Ground,,Sand Veil,Arena Trap,Sand Force,Ordinary,,,10,55,25,35,45,95,265,https://img.pokemondb.net/artwork/large/diglett.jpg
50,50_1,Diglett,Alolan Diglett,,7,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Ordinary,,Alolan,10,55,30,35,45,90,265,https://img.pokemondb.net/artwork/large/alolan-diglett.jpg
51,51_0,Dugtrio,Dugtrio,,1,Ground,,Sand Veil,Arena Trap,Sand Force,Ordinary,,,35,100,50,50,70,120,425,https://img.pokemondb.net/artwork/large/dugtrio.jpg
51,51_1,Dugtrio,Alolan Dugtrio,,7,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Ordinary,,Alolan,35,100,60,50,70,110,425,https://img.pokemondb.net/artwork/large/alolan-dugtrio.jpg
52,52_0,Meowth,Meowth,,1,Normal,,Pickup,Technician,Unnerve,Ordinary,,,40,45,35,40,40,90,290,https://img.pokemondb.net/artwork/large/meowth.jpg
52,52_1,Meowth,Alolan Meowth,,7,Dark,,Pickup,Technician,Rattled,Ordinary,,Alolan,40,35,35,50,40,90,290,https://img.pokemondb.net/artwork/large/alolan-meowth.jpg
52,52_2,Meowth,Galarian Meowth,,8,Steel,,Pickup,Tough Claws,Unnerve,Ordinary,,Galarian,50,65,55,40,40,40,290,https://img.pokemondb.net/artwork/large/galarian-meowth.jpg
53,53_0,Persian,Persian,,1,Normal,,Limber,Technician,Unnerve,Ordinary,,,65,70,60,65,65,115,440,https://img.pokemondb.net/artwork/large/persian.jpg
53,53_1,Persian,Alolan Persian,,7,Dark,,Fur Coat,Technician,Rattled,Ordinary,,Alolan,65,60,60,75,65,115,440,https://img.pokemondb.net/artwork/large/alolan-persian.jpg
54,54_0,Psyduck,Psyduck,,1,Water,,Damp,Cloud Nine,Swift Swim,Ordinary,,,50,52,48,65,50,55,320,https://img.pokemondb.net/artwork/large/psyduck.jpg
55,55_0,Golduck,Golduck,,1,Water,,Damp,Cloud Nine,Swift Swim,Ordinary,,,80,82,78,95,80,85,500,https://img.pokemondb.net/artwork/large/golduck.jpg
56,56_0,Mankey,Mankey,,1,Fighting,,Vital Spirit,Anger Point,Defiant,Ordinary,,,40,80,35,35,45,70,305,https://img.pokemondb.net/artwork/large/mankey.jpg
57,57_0,Primeape,Primeape,,1,Fighting,,Vital Spirit,Anger Point,Defiant,Ordinary,,,65,105,60,60,70,95,455,https://img.pokemondb.net/artwork/large/primeape.jpg
58,58_0,Growlithe,Growlithe,,1,Fire,,Intimidate,Flash Fire,Justified,Ordinary,,,55,70,45,70,50,60,350,https://img.pokemondb.net/artwork/large/growlithe.jpg
58,58_1,Growlithe,Hisuian Growlithe,,8,Fire,Rock,Intimidate,Flash Fire,Rock Head,Ordinary,,Hisuian,60,75,45,65,50,55,350,https://img.pokemondb.net/artwork/large/hisuian-growlithe.jpg
59,59_0,Arcanine,Arcanine,,1,Fire,,Intimidate,Flash Fire,Justified,Ordinary,,,90,110,80,100,80,95,555,https://img.pokemondb.net/artwork/large/arcanine.jpg
59,59_1,Arcanine,Hisuian Arcanine,Arcanine-H,8,Fire,Rock,Intimidate,Flash Fire,Rock Head,Ordinary,,Hisuian,95,115,80,95,80,90,555,https://img.pokemondb.net/artwork/large/hisuian-arcanine.jpg
60,60_0,Poliwag,Poliwag,,1,Water,,Water Absorb,Damp,Swift Swim,Ordinary,,,40,50,40,40,40,90,300,https://img.pokemondb.net/artwork/large/poliwag.jpg
61,61_0,Poliwhirl,Poliwhirl,,1,Water,,Water Absorb,Damp,Swift Swim,Ordinary,,,65,65,65,50,50,90,385,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
62,62_0,Poliwrath,Poliwrath,,1,Water,Fighting,Water Absorb,Damp,Swift Swim,Ordinary,,,90,95,95,70,90,70,510,https://img.pokemondb.net/artwork/large/poliwrath.jpg
63,63_0,Abra,Abra,,1,Psychic,,Synchronize,Inner Focus,Magic Guard,Ordinary,,,25,20,15,105,55,90,310,https://img.pokemondb.net/artwork/large/abra.jpg
64,64_0,Kadabra,Kadabra,,1,Psychic,,Synchronize,Inner Focus,Magic Guard,Ordinary,,,40,35,30,120,70,105,400,https://img.pokemondb.net/artwork/large/kadabra.jpg
65,65_0,Alakazam,Alakazam,,1,Psychic,,Synchronize,Inner Focus,Magic Guard,Ordinary,,,55,50,45,135,95,120,500,https://img.pokemondb.net/artwork/large/alakazam.jpg
65,65_1,Alakazam,Mega Alakazam,,1,Psychic,,Trace,,,Ordinary,Mega,,55,50,65,175,105,150,600,https://img.pokemondb.net/artwork/large/mega-alakazam.jpg
66,66_0,Machop,Machop,,1,Fighting,,Guts,No Guard,Steadfast,Ordinary,,,70,80,50,35,35,35,305,https://img.pokemondb.net/artwork/large/machop.jpg
67,67_0,Machoke,Machoke,,1,Fighting,,Guts,No Guard,Steadfast,Ordinary,,,80,100,70,50,60,45,405,https://img.pokemondb.net/artwork/large/machoke.jpg
68,68_0,Machamp,Machamp,,1,Fighting,,Guts,No Guard,Steadfast,Ordinary,,,90,130,80,65,85,55,505,https://img.pokemondb.net/artwork/large/machamp.jpg
69,69_0,Bellsprout,Bellsprout,,1,Grass,Poison,Chlorophyll,,Gluttony,Ordinary,,,50,75,35,70,30,40,300,https://img.pokemondb.net/artwork/large/bellsprout.jpg
70,70_0,Weepinbell,Weepinbell,,1,Grass,Poison,Chlorophyll,,Gluttony,Ordinary,,,65,90,50,85,45,55,390,https://img.pokemondb.net/artwork/large/weepinbell.jpg
71,71_0,Victreebel,Victreebel,,1,Grass,Poison,Chlorophyll,,Gluttony,Ordinary,,,80,105,65,100,70,70,490,https://img.pokemondb.net/artwork/large/victreebel.jpg
72,72_0,Tentacool,Tentacool,,1,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Ordinary,,,40,40,35,50,100,70,335,https://img.pokemondb.net/artwork/large/tentacool.jpg
73,73_0,Tentacruel,Tentacruel,,1,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Ordinary,,,80,70,65,80,120,100,515,https://img.pokemondb.net/artwork/large/tentacruel.jpg
74,74_0,Geodude,Geodude,,1,Rock,Ground,Rock Head,Sturdy,Sand Veil,Ordinary,,,40,80,100,30,30,20,300,https://img.pokemondb.net/artwork/large/geodude.jpg
74,74_1,Geodude,Alolan Geodude,,7,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Ordinary,,Alolan,40,80,100,30,30,20,300,https://img.pokemondb.net/artwork/large/alolan-geodude.jpg
75,75_0,Graveler,Graveler,,1,Rock,Ground,Rock Head,Sturdy,Sand Veil,Ordinary,,,55,95,115,45,45,35,390,https://img.pokemondb.net/artwork/large/graveler.jpg
75,75_1,Graveler,Alolan Graveler,,7,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Ordinary,,Alolan,55,95,115,45,45,35,390,https://img.pokemondb.net/artwork/large/alolan-graveler.jpg
76,76_0,Golem,Golem,,1,Rock,Ground,Rock Head,Sturdy,Sand Veil,Ordinary,,,80,120,130,55,65,45,495,https://img.pokemondb.net/artwork/large/golem.jpg
76,76_1,Golem,Alolan Golem,,7,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Ordinary,,Alolan,80,120,130,55,65,45,495,https://img.pokemondb.net/artwork/large/alolan-golem.jpg
77,77_0,Ponyta,Ponyta,,1,Fire,,Run Away,Flash Fire,Flame Body,Ordinary,,,50,85,55,65,65,90,410,https://img.pokemondb.net/artwork/large/ponyta.jpg
77,77_1,Ponyta,Galarian Ponyta,,8,Psychic,,Run Away,Pastel Veil,Anticipation,Ordinary,,Galarian,50,85,55,65,65,90,410,https://img.pokemondb.net/artwork/large/galarian-ponyta.jpg
78,78_0,Rapidash,Rapidash,,1,Fire,,Run Away,Flash Fire,Flame Body,Ordinary,,,65,100,70,80,80,105,500,https://img.pokemondb.net/artwork/large/rapidash.jpg
78,78_1,Rapidash,Galarian Rapidash,,8,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,Ordinary,,Galarian,65,100,70,80,80,105,500,https://img.pokemondb.net/artwork/large/galarian-rapidash.jpg
79,79_0,Slowpoke,Slowpoke,,1,Water,Psychic,Oblivious,Own Tempo,Regenerator,Ordinary,,,90,65,65,40,40,15,315,https://img.pokemondb.net/artwork/large/slowpoke.jpg
79,79_1,Slowpoke,Galarian Slowpoke,,8,Psychic,,Gluttony,Own Tempo,Regenerator,Ordinary,,Galarian,90,65,65,40,40,15,315,https://img.pokemondb.net/artwork/large/galarian-slowpoke.jpg
80,80_0,Slowbro,Slowbro,,1,Water,Psychic,Oblivious,Own Tempo,Regenerator,Ordinary,,,95,75,110,100,80,30,490,https://img.pokemondb.net/artwork/large/slowbro.jpg
80,80_1,Slowbro,Galarian Slowbro,,8,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Ordinary,,Galarian,95,100,95,100,70,30,490,https://img.pokemondb.net/artwork/large/galarian-slowbro.jpg
80,80_2,Slowbro,Mega Slowbro,,1,Water,Psychic,Shell Armor,,,Ordinary,Mega,,95,75,180,130,80,30,590,https://img.pokemondb.net/artwork/large/mega-slowbro.jpg
81,81_0,Magnemite,Magnemite,,1,Electric,Steel,Magnet Pull,Sturdy,Analytic,Ordinary,,,25,35,70,95,55,45,325,https://img.pokemondb.net/artwork/large/magnemite.jpg
82,82_0,Magneton,Magneton,,1,Electric,Steel,Magnet Pull,Sturdy,Analytic,Ordinary,,,50,60,95,120,70,70,465,https://img.pokemondb.net/artwork/large/magneton.jpg
83,83_0,Farfetch'd,Farfetch'd,,1,Normal,Flying,Keen Eye,Inner Focus,Defiant,Ordinary,,,52,90,55,58,62,60,377,https://img.pokemondb.net/artwork/large/farfetchd.jpg
83,83_1,Farfetch'd,Galarian Farfetch'd,,8,Fighting,,Steadfast,,Scrappy,Ordinary,,Galarian,52,95,55,58,62,55,377,https://img.pokemondb.net/artwork/large/galarian-farfetchd.jpg
84,84_0,Doduo,Doduo,,1,Normal,Flying,Run Away,Early Bird,Tangled Feet,Ordinary,,,35,85,45,35,35,75,310,https://img.pokemondb.net/artwork/large/doduo.jpg
85,85_0,Dodrio,Dodrio,,1,Normal,Flying,Run Away,Early Bird,Tangled Feet,Ordinary,,,60,110,70,60,60,110,470,https://img.pokemondb.net/artwork/large/dodrio.jpg
86,86_0,Seel,Seel,,1,Water,,Thick Fat,Hydration,Ice Body,Ordinary,,,65,45,55,45,70,45,325,https://img.pokemondb.net/artwork/large/seel.jpg
87,87_0,Dewgong,Dewgong,,1,Water,Ice,Thick Fat,Hydration,Ice Body,Ordinary,,,90,70,80,70,95,70,475,https://img.pokemondb.net/artwork/large/dewgong.jpg
88,88_0,Grimer,Grimer,,1,Poison,,Stench,Sticky Hold,Poison Touch,Ordinary,,,80,80,50,40,50,25,325,https://img.pokemondb.net/artwork/large/grimer.jpg
88,88_1,Grimer,Alolan Grimer,,7,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Ordinary,,Alolan,80,80,50,40,50,25,325,https://img.pokemondb.net/artwork/large/alolan-grimer.jpg
89,89_0,Muk,Muk,,1,Poison,,Stench,Sticky Hold,Poison Touch,Ordinary,,,105,105,75,65,100,50,500,https://img.pokemondb.net/artwork/large/muk.jpg
89,89_1,Muk,Alolan Muk,,7,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Ordinary,,Alolan,105,105,75,65,100,50,500,https://img.pokemondb.net/artwork/large/alolan-muk.jpg
90,90_0,Shellder,Shellder,,1,Water,,Shell Armor,Skill Link,Overcoat,Ordinary,,,30,65,100,45,25,40,305,https://img.pokemondb.net/artwork/large/shellder.jpg
91,91_0,Cloyster,Cloyster,,1,Water,Ice,Shell Armor,Skill Link,Overcoat,Ordinary,,,50,95,180,85,45,70,525,https://img.pokemondb.net/artwork/large/cloyster.jpg
92,92_0,Gastly,Gastly,,1,Ghost,Poison,Levitate,,,Ordinary,,,30,35,30,100,35,80,310,https://img.pokemondb.net/artwork/large/gastly.jpg
93,93_0,Haunter,Haunter,,1,Ghost,Poison,Levitate,,,Ordinary,,,45,50,45,115,55,95,405,https://img.pokemondb.net/artwork/large/haunter.jpg
94,94_0,Gengar,Gengar,,1,Ghost,Poison,Cursed Body,,,Ordinary,,,60,65,60,130,75,110,500,https://img.pokemondb.net/artwork/large/gengar.jpg
94,94_1,Gengar,Mega Gengar,Gengar-Mega,6,Ghost,Poison,Shadow Tag,,,Ordinary,Mega,,60,65,80,170,95,130,600,https://img.pokemondb.net/artwork/large/mega-gengar.jpg
95,95_0,Onix,Onix,,1,Rock,Ground,Rock Head,Sturdy,Weak Armor,Ordinary,,,35,45,160,30,45,70,385,https://img.pokemondb.net/artwork/large/onix.jpg
96,96_0,Drowzee,Drowzee,,1,Psychic,,Insomnia,Forewarn,Inner Focus,Ordinary,,,60,48,45,43,90,42,328,https://img.pokemondb.net/artwork/large/drowzee.jpg
97,97_0,Hypno,Hypno,,1,Psychic,,Insomnia,Forewarn,Inner Focus,Ordinary,,,85,73,70,73,115,67,483,https://img.pokemondb.net/artwork/large/hypno.jpg
98,98_0,Krabby,Krabby,,1,Water,,Hyper Cutter,Shell Armor,Sheer Force,Ordinary,,,30,105,90,25,25,50,325,https://img.pokemondb.net/artwork/large/krabby.jpg
99,99_0,Kingler,Kingler,,1,Water,,Hyper Cutter,Shell Armor,Sheer Force,Ordinary,,,55,130,115,50,50,75,475,https://img.pokemondb.net/artwork/large/kingler.jpg
100,100_0,Voltorb,Voltorb,,1,Electric,,Soundproof,Static,Aftermath,Ordinary,,,40,30,50,55,55,100,330,https://img.pokemondb.net/artwork/large/voltorb.jpg
100,100_1,Voltorb,Hisuian Voltorb,,8,Electric,Grass,Soundproof,Static,Aftermath,Ordinary,,Hisuian,40,30,50,55,55,100,330,https://img.pokemondb.net/artwork/large/hisuian-voltorb.jpg
101,101_0,Electrode,Electrode,,1,Electric,,Soundproof,Static,Aftermath,Ordinary,,,60,50,70,80,80,150,490,https://img.pokemondb.net/artwork/large/electrode.jpg
101,101_1,Electrode,Hisuian Electrode,,8,Electric,Grass,Soundproof,Static,Aftermath,Ordinary,,Hisuian,60,50,70,80,80,150,490,https://img.pokemondb.net/artwork/large/hisuian-electrode.jpg
102,102_0,Exeggcute,Exeggcute,,1,Grass,Psychic,Chlorophyll,,Harvest,Ordinary,,,60,40,80,60,45,40,325,https://img.pokemondb.net/artwork/large/exeggcute.jpg
103,103_0,Exeggutor,Exeggutor,,1,Grass,Psychic,Chlorophyll,,Harvest,Ordinary,,,95,95,85,125,75,55,530,https://img.pokemondb.net/artwork/large/exeggutor.jpg
103,103_1,Exeggutor,Alolan Exeggutor,Exeggutor-A,7,Grass,Dragon,Frisk,,Harvest,Ordinary,,Alolan,95,105,85,125,75,45,530,https://img.pokemondb.net/artwork/large/alolan-exeggutor.jpg
104,104_0,Cubone,Cubone,,1,Ground,,Rock Head,Lightning Rod,Battle Armor,Ordinary,,,50,50,95,40,50,35,320,https://img.pokemondb.net/artwork/large/cubone.jpg
105,105_0,Marowak,Marowak,,1,Ground,,Rock Head,Lightning Rod,Battle Armor,Ordinary,,,60,80,110,50,80,45,425,https://img.pokemondb.net/artwork/large/marowak.jpg
105,105_1,Marowak,Alolan Marowak,Marowak-A,7,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,Ordinary,,Alolan,60,80,110,50,80,45,425,https://img.pokemondb.net/artwork/large/alolan-marowak.jpg
106,106_0,Hitmonlee,Hitmonlee,,1,Fighting,,Limber,Reckless,Unburden,Ordinary,,,50,120,53,35,110,87,455,https://img.pokemondb.net/artwork/large/hitmonlee.jpg
